Paper,Authors,year,subject,MALE,Mean Year,modality,linguisticity,Task,Kinds of response,inference,contrast,simple,location,software,Original Space,Reported Coordinates,x,y,z,mni_x,mni_y,mni_z,z score,correction,Effect,Gaps,scanner,Tesla,design,Title,Journal,inf_name,contrasts,vertices,sx,sy,sz,hemisphere,study
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,"48 deductive (syllogisms / implications, disjunctions, conjunctions)",Evaluate (Yes / No),2,deduction - baseline,Deductive-Baseline,L inferior frontal gyrus (45),SPM(96),Talairach,Talairach,-52,18,16,-55,22,12,3.81,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport,Deductive,Baseline,117361,-48.8199996948242,84.1300048828125,23.2099990844727,left,1
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,"48 deductive (syllogisms / implications, disjunctions, conjunctions)",Evaluate (Yes / No),2,deduction - baseline,Deductive-Baseline,L inferior frontal gurus (47),SPM(96),Talairach,Talairach,-26,16,-4,-27,18,-10,3.71,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport,Deductive,Baseline,39763,-21.0499992370605,80.7799987792969,-55.0699996948242,left,1
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,"48 deductive (syllogisms / implications, disjunctions, conjunctions)",Evaluate (Yes / No),2,deduction - baseline,Deductive-Baseline,L superior occipital gyrus (19),SPM(96),Talairach,Talairach,-42,-74,28,-44,-74,35,3.54,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport,Deductive,Baseline,47784,-49.5,-86.5299987792969,7.89000034332275,left,1
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),1,induction - baseline,Inductive-Baseline,"L cingulate gyrus (24,32)",SPM(96),Talairach,Talairach,-12,28,28,-12,34,24,5.47,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport,Inductive,Baseline,134053,83.6700057983398,51.8800010681152,17.5400009155273,left,2
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),1,induction - baseline,Inductive-Baseline,L inferior frontal gyrus (47),SPM(96),Talairach,Talairach,-28,18,-12,-29,19,-19,4.63,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport,Inductive,Baseline,7001,-9.73999977111816,83.1100006103516,-54.75,left,2
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),1,induction - baseline,Inductive-Baseline,L middle frontal gyrus (10),SPM(96),Talairach,Talairach,-36,52,8,-38,57,-1,3.88,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport,Inductive,Baseline,18047,3.77999997138977,99.8899993896484,2.94000005722046,left,2
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),1,induction - baseline,Inductive-Baseline,L superior occipital gyrus (19),SPM(96),Talairach,Talairach,-46,-70,28,-48,-70,35,3.41,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport,Inductive,Baseline,147273,-54.8699989318848,-82.9500045776367,10.3800001144409,left,2
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),1,induction - baseline,Inductive-Baseline,L inferior temporal gyrus (20),SPM(96),Talairach,Talairach,-56,-18,-20,-60,-20,-24,3.43,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport,Inductive,Baseline,92486,-53.8699989318848,-2.50999999046326,-84.2099990844727,left,2
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),1,induction - deduction,Inductive-Deductive,L superior frontal gyrus (9),SPM(96),Talairach,Talairach,-12,54,24,-12,61,16,3.28,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport,Inductive,Cross_Inference,32304,45.3899993896484,85.5099945068359,25.0499992370605,left,3
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),2,logic vs meaning,Deductive-Baseline,L cuneus(BA 18),SPM95,standard (Talairach),Talairach,-10,-86,24,-9,-88,31,3.57,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia,Deductive,Baseline,12931,23.7299995422363,-96.370002746582,-12.2699995040894,left,4
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),2,logic vs probability,Deductive-Inductive,R cingulate gyrus (BA 24/32),SPM95,standard (Talairach),Talairach,8,38,0,10,42,-9,4.18,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia,Deductive,Cross_Inference,60862,-50.1800003051758,86.4899978637695,0.879999995231628,right,5
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),2,logic vs probability,Deductive-Inductive,R sup. parietal lobule (BA 7),SPM95,standard (Talairach),Talairach,30,-76,40,34,-75,47,4.06,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia,Deductive,Cross_Inference,4251,7.55999994277954,-99.5400009155273,5.8899998664856,right,5
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),2,logic vs probability,Deductive-Inductive,R precuneus (BA 7),SPM95,standard (Talairach),Talairach,8,-76,48,11,-74,56,3.45,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia,Deductive,Cross_Inference,106853,-44.4000015258789,-82.9400024414062,33.8899993896484,right,5
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),2,logic vs probability,Deductive-Inductive,R mid occipital gyrus (BA 19),SPM95,standard (Talairach),Talairach,46,-76,-4,51,-80,-2,3.38,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia,Deductive,Cross_Inference,59188,5.55000019073486,-78.4099960327148,-61.8199996948242,right,5
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),2,logic vs probability,Deductive-Inductive,R sup. occipital gyrus (BA 19),SPM95,standard (Talairach),Talairach,22,-80,24,25,-81,30,3.31,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia,Deductive,Cross_Inference,112204,-33.2899971008301,-94.2200012207031,-3.6800000667572,right,5
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),1,probability vs logic,Inductive-Deductive,L mid frontal gyrus (BA 10),SPM95,standard (Talairach),Talairach,-40,48,16,-42,54,9,3.88,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia,Inductive,Cross_Inference,35086,1.08000004291534,98.4300003051758,17.6000003814697,left,6
2,"Osherson, D., Perani, D., Cappa, S., Schnur, T., Grassi, F. and Fazio, F.",1998,10,ALL,21-25,visual,linguistic,syllogism,Evaluate (Yes / No),1,probability vs meaning,Inductive-Baseline,L ant. cingulate gyrus (BA 24/32),SPM95,standard (Talairach),Talairach,-2,14,32,-1,20,29,3.41,uncorrected,fixed?,full,PET,NA,Block,Distinct brain loci in deductive versus probabilistic reasoning,Neuropsychologia,Inductive,Baseline,109982,94.4000015258789,31.5100021362305,9.81999969482422,left,7
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),2,Content - no-content,Deductive-Deductive,Lt. middle/superior temporal lobe (21/22),SPM97d,MNI,MNI,-58,-40,-2,-58,-40,-2,7.66,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage,Deductive,Within_Inference,23631,-80.1900024414062,-30.7000007629395,-51.25,left,8
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),2,Content - no-content,Deductive-Deductive,Lt. inferior frontal lobe (47),SPM97d,MNI,MNI,-52,28,-4,-52,28,-4,7.74,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage,Deductive,Within_Inference,33385,-28.0299987792969,95.9700012207031,1.75999999046326,left,8
3,"Goel, V., Buchel, C., Frith, C. and Dolan, R. J.",2000,11,7,29.4,visual,linguistic,content vs no-content syllogisms,Evaluate (Yes / No),2,Content - no-content,Deductive-Deductive,Lt. striate cortex (17) & lingual gyri (18),SPM97d,MNI,MNI,-8,-78,-12,-8,-78,-12,9.3,corrected,random,gaps,fMRI,2,Event-related,Dissociation of mechanisms underlying syllogistic reasoning,Neuroimage,Deductive,Within_Inference,10124,25.9899997711182,-60.1100044250488,-75.5699996948242,left,8
