Paper,Authors,Year,Subject,MALE,Mean Year,Stimuli Modality,Linguisticity,Task,Kinds of response,Inference,Contrasts Included,Simplified Contrasts,Location (BA),Software,Original Space,Reported Coordinates,x,y,z,mni_x,mni_y,mni_z,z score,Correction,Effect,Gaps,Scanning Method,Tesla,Design,Title,Journal
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,"48 deductive (syllogisms / implications, disjunctions, conjunctions)",Evaluate (Yes / No),deductive,deduction - baseline,Deductive-Baseline,L inferior frontal gyrus (45),SPM(96),Talairach,Talairach,-52,18,16,-55,22,12,3.81,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,"48 deductive (syllogisms / implications, disjunctions, conjunctions)",Evaluate (Yes / No),deductive,deduction - baseline,Deductive-Baseline,L inferior frontal gurus (47),SPM(96),Talairach,Talairach,-26,16,-4,-27,18,-10,3.71,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,"48 deductive (syllogisms / implications, disjunctions, conjunctions)",Evaluate (Yes / No),deductive,deduction - baseline,Deductive-Baseline,L superior occipital gyrus (19),SPM(96),Talairach,Talairach,-42,-74,28,-44,-74,35,3.54,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),inductive,induction - baseline,Inductive-Baseline,"L cingulate gyrus (24,32)",SPM(96),Talairach,Talairach,-12,28,28,-12,34,24,5.47,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),inductive,induction - baseline,Inductive-Baseline,L inferior frontal gyrus (47),SPM(96),Talairach,Talairach,-28,18,-12,-29,19,-19,4.63,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),inductive,induction - baseline,Inductive-Baseline,L middle frontal gyrus (10),SPM(96),Talairach,Talairach,-36,52,8,-38,57,-1,3.88,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),inductive,induction - baseline,Inductive-Baseline,L superior occipital gyrus (19),SPM(96),Talairach,Talairach,-46,-70,28,-48,-70,35,3.41,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),inductive,induction - baseline,Inductive-Baseline,L inferior temporal gyrus (20),SPM(96),Talairach,Talairach,-56,-18,-20,-60,-20,-24,3.43,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),inductive,induction - baseline,Inductive-Baseline,R white matter,SPM(96),Talairach,Talairach,30,28,0,33,31,-8,3.52,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport
1,"Goel, Vinod, Gold, Brian, Kapur, Shitij and Houle, Sylvain",1997,10,ALL,28.4,visual,linguistic,48 inductive,Evaluate (Yes / No),inductive,induction - deduction,Inductive-Deductive,L superior frontal gyrus (8),SPM(96),Talairach,Talairach,-16,32,36,-16,39,32,5.06,uncorrected,fixed?,NA,PET,NA,Block,The seats of reason? An imaging study of deductive and inductive reasoning,Neuroreport
